Q1A,Q6A,Q8A,Q11A,Q12A,Q14A,Q18A,Q22A,Q27A,Q29A,Q32A,Q33A,Q35A,Q39A,Condition
253,3,3,0,3,1,0,1,1,0,1,1,2,3,Moderate
254,2,1,3,1,0,1,0,0,2,0,0,3,1,Normal
255,0,0,0,1,0,0,3,1,3,0,0,2,3,Normal
256,1,1,3,2,3,0,0,1,0,1,1,0,1,Mild
257,0,3,0,1,2,1,2,3,2,0,1,0,2,Moderate
258,2,0,1,2,3,1,0,3,3,1,0,3,1,Moderate
259,3,1,1,1,1,3,0,2,1,1,1,3,2,Moderate
260,0,0,1,3,1,3,3,0,3,0,2,2,0,Moderate
261,2,0,2,1,0,3,3,2,1,1,0,2,0,Mild
262,1,2,2,3,1,1,1,2,3,1,2,3,0,Moderate
263,3,1,0,3,0,1,1,1,1,1,0,3,1,Mild
264,1,3,2,3,2,0,0,1,1,2,1,3,1,Moderate
265,3,1,0,1,2,1,0,1,3,3,1,1,1,Moderate
266,3,2,1,1,1,2,1,1,3,2,3,1,0,Moderate
267,1,3,1,1,1,3,2,1,1,2,2,3,3,Moderate
268,1,1,0,2,0,1,3,1,1,1,0,0,2,Normal
269,1,1,1,1,1,1,1,0,1,0,2,1,2,Normal
270,0,2,1,2,0,0,0,0,1,0,1,1,1,Normal
271,3,1,2,3,3,1,3,2,1,1,3,1,0,Moderate
272,1,0,3,0,1,1,3,3,1,0,2,1,3,Moderate
273,3,0,3,3,2,1,2,3,2,2,3,1,1,Severe
274,2,1,1,1,1,1,1,2,0,2,3,2,3,Moderate
275,1,2,1,3,1,2,1,3,1,2,2,1,2,Moderate
276,3,0,1,2,2,2,0,0,2,2,3,1,2,Moderate
277,1,1,1,2,1,3,2,2,0,1,2,1,1,Moderate
278,1,2,1,1,1,2,3,2,1,1,1,1,1,Moderate
279,1,1,0,3,0,2,1,2,2,0,2,1,2,Mild
280,1,1,0,0,0,1,1,0,2,0,1,1,0,Normal
281,0,1,0,1,1,0,0,0,1,1,1,1,2,Normal
282,1,2,2,3,2,2,1,2,2,2,1,1,2,Moderate
283,2,3,2,2,1,1,2,1,2,1,1,2,1,Moderate
284,0,1,0,1,1,0,0,1,0,1,0,1,0,Normal
285,0,2,2,2,2,2,2,3,2,2,2,2,2,Severe
286,1,0,2,0,1,2,2,2,0,0,2,0,2,Mild
287,3,3,0,1,1,1,1,2,0,2,1,0,1,Mild
288,0,1,0,1,0,0,2,3,3,2,2,1,2,Moderate
289,1,1,1,2,2,2,1,1,0,1,1,2,1,Mild
290,1,2,2,1,1,0,1,1,1,1,1,1,0,Normal
291,0,1,1,1,0,1,1,1,1,0,1,1,1,Normal
292,2,2,0,0,1,3,0,0,1,3,0,1,2,Mild
293,0,2,2,1,0,1,2,1,2,0,2,1,1,Mild
294,3,2,2,2,2,3,3,1,2,2,3,3,3,Extremely Severe
295,3,2,2,2,2,2,2,1,2,2,1,1,1,Moderate
296,3,1,3,1,1,2,2,3,2,1,2,1,2,Severe
297,0,2,2,2,3,2,2,2,3,1,2,1,2,Severe
298,3,0,3,3,1,0,3,0,2,3,1,2,0,Moderate
299,2,2,2,2,1,2,2,2,2,2,2,2,2,Severe
300,2,3,2,2,2,2,2,2,2,2,2,2,2,Severe
301,2,2,3,3,3,2,2,1,3,3,2,1,0,Severe
302,2,1,2,2,2,2,2,1,2,2,2,1,2,Moderate
303,0,0,2,0,1,3,2,3,3,3,2,0,3,Moderate
304,3,2,2,3,1,3,3,3,1,2,3,2,3,Severe
305,3,2,3,3,1,1,3,2,3,1,3,2,1,Severe
306,0,3,3,0,1,3,3,0,3,2,2,2,2,Severe
307,2,2,0,2,0,0,1,2,1,2,1,1,1,Mild
308,1,1,1,2,2,2,1,2,1,2,2,2,2,Moderate
309,1,2,1,1,2,3,1,2,3,1,2,2,1,Moderate
310,1,3,0,2,2,2,2,2,1,2,1,2,2,Moderate
311,2,3,1,2,2,0,0,1,0,1,0,0,0,Normal
312,0,1,0,3,3,3,3,0,3,2,2,3,2,Severe
313,2,2,2,2,3,2,2,2,2,2,3,1,1,Severe
314,1,2,3,3,1,1,2,2,2,0,2,2,2,Moderate
315,1,0,0,3,2,3,0,1,2,2,3,3,2,Moderate
316,0,1,1,2,0,0,0,0,2,3,0,1,2,Normal
317,1,1,3,1,2,3,3,0,2,1,1,1,1,Moderate
318,0,0,1,2,1,2,2,0,3,3,0,0,1,Mild
